1;	TOT;	ANO;	Height;	Length;	Width;	GrossA;	NetA;	 
2;	CC/01/;	 01;	 2960;	 4146;	  195;	12,272;	7,360;	 
3;	CC/01/;	 02;	 2960;	 5706;	  195;	16,890;	14,006;	 
4;	CC/01/;	 03;	 2960;	 4510;	  195;	13,350;	10,508;	 
5;	CC/01/;	 04;	 2960;	 4457;	  195;	13,192;	5,859;	 
6;	CC/01/;	 05;	 2960;	 4947;	  195;	14,644;	7,312;	 
7;	CC/01/;	 06;	 2960;	 4503;	  195;	13,287;	5,954;	 
8;	CC/01/;	 07;	 2960;	 3913;	  195;	11,540;	6,627;	 
9;	CC/01/;	 08;	 2960;	 4947;	  195;	14,644;	7,312;	 
10;	CC/01/;	 09;	 2960;	 4560;	  195;	13,497;	8,585;	 
11;	CC/01/;	 10;	 2960;	 4787;	  195;	14,170;	10,704;	 
12;	CC/01/;	 11;	 3100;	 2400;	  195;	7,399;	4,664;	 
13;	CC/01/;	 12;	 2890;	 4819;	  195;	13,927;	11,925;	 
14;	CC/01/;	 13;	 3100;	 1027;	  195;	3,183;	3,183;	 
15;	CC/01/;	 14;	 2960;	 4895;	  195;	14,453;	11,611;	 
16;	CC/01/;	 15;	 2960;	 5973;	  195;	17,661;	17,661;	 
17;	CC/01/;	 16;	 3100;	  526;	  195;	1,629;	1,629;	 
18;	CC/01/;	 17;	 3100;	  681;	  195;	2,110;	2,110;	 
19;	CC/01/;	 18;	 2943;	 5026;	  195;	11,629;	9,329;	 
20;	CC/01/;	 19;	 3450;	 2739;	  195;	7,136;	7,136;	 
21;	CC/01/;	 20;	 3300;	 2500;	  195;	8,249;	8,249;	 
22;	CC/01/;	 21;	 3300;	 2487;	  195;	8,205;	8,205;	 
23;	CC/01/;	 22;	 3450;	 1075;	  195;	3,559;	3,559;	 
24;	CC/01/;	 23;	 1317;	 3288;	  195;	3,051;	3,051;	 
25;	CC/01/;	 24';	 2960;	 3000;	  195;	8,880;	8,880;	 
26;	CC/01/;	 25';	 2960;	 5026;	  195;	14,876;	9,632;	 
27;	CC/01/;	 26';	 2960;	 4440;	  195;	13,128;	11,112;	 
28;	CC/01/;	 27';	 3098;	 4196;	  195;	12,419;	8,543;	 
29;	CC/01/;	 28';	 2960;	 5626;	  195;	16,652;	10,760;	 
30;	CC/01/;	 29';	 3100;	 1610;	  195;	4,991;	2,975;	 
31;	CC/01/;	 30';	 2960;	 4316;	  195;	12,774;	12,774;	 
32;	CC/01/;	 31'';	 3080;	 2685;	  120;	8,270;	4,394;	 
33;	CC/01/;	 32'';	 3080;	 1730;	  120;	5,328;	5,328;	 
34;	CC/01/;	 33'';	 3080;	 2315;	  120;	7,131;	7,131;	 
